name,class,class_detail,subtype,domain_detail,dynamics,layers,real_stack,real_stack_detail,scale,inputs,outputs,language,license,maintenance,maintenance_detail,last_activity,url,publication,contact,notes,source,added,verified,domains
LEOScope gRPC data,Dataset / data,Dataset,Terminal telemetry + dashboard,LEO broadband,N/A,Starlink gRPC telemetry; latency/throughput time series,na,N/A,Same footprint as LEOScope,N/A,Dashboard; link profiles; formats unclear,JavaScript (dashboard),MIT (website repo); data license UNKNOWN,low,Partially (testbed active; dashboard repo idle since 2024-04),2024-04,https://leoscope.surrey.ac.uk/dashboard,ACM SIGCOMM CCR 2025,LEOScope team,Treat as data facet of LEOScope not standalone; bulk access model unclear,dagstuhl,2026-07,2026-07,LEO
LEOViz,Measurement,Measurement tool,Serving-satellite identification + visualization,LEO broadband (Starlink/OneWeb),TLE + dish telemetry correlation,Dish gRPC; obstruction maps; ICMP latency; satellite ID,na,N/A,Per-dish tool,Dish gRPC; GPS coords; TLEs; pings,CSV; obstruction maps; MP4 visualizations; Grafana,Python,GPL-3.0,active,Yes (last push 2026-01; 59 stars),2026-01,https://github.com/clarkzjw/LEOViz,ACM LEO-NET 2024,Jinwei Zhao (UVic PanLab),Companion software of CCC-LEO testbed,dagstuhl,2026-07,2026-07,LEO
MegaReduce,Implementation,,Constellation sizing under survivability constraints,Constellation dimensioning,Constellation models,Optimization of constellation size against performance and survivability constraints,no,,Mega-constellation design space,Constraints and configs,Optimized designs,Mixed,Not stated,low,Last push 2025-05,2025-05,https://github.com/SpaceNetLab/MegaReduce,IEEE INFOCOM 2024,"SpaceNetLab, Tsinghua University",Cost-driven constellation sizing; complements Hypatia-class simulators.,sweep,2026-07,2026-07,LEO
MeteorNet,Emulator,,Mininet + ONOS SDN + Docker services,LEO broadband / MEC,TLE files + SGP4; contact tables for handover,SDN topology/routing (OpenFlow/ONOS); real container apps; telemetry,yes,Yes (Mininet + Docker),Constellation-scale scripts; single-host Mininet bound,TLEs; ground coordinates; scenario scripts,Telemetry in MongoDB; sFlow-RT; plots,Python,None in repo (UNKNOWN),active,Yes (last activity 2026-06),2026-06,https://gitlab.com/camilo.rojas/meteornet,IEEE ICC Wksp 2024; ASMS/SPSC 2025,Camilo Rojas (Univ. Genoa),Includes RL task-orchestration scripts; heavy dependency stack,dagstuhl,2026-07,2026-07,LEO
NASA cFS BP + bplib,Implementation,,BPv7 as Core Flight System app + embedded library,Flight software DTN,Mission-configured contacts,BPv7; UDP/CCSDS encapsulation CLAs; storage abstraction,yes,Yes,Flight computer targets,cFS configuration,Bundle traffic,C,Apache-2.0,active,Yes (both pushed 2026-03),2026-03,https://github.com/nasa/bp,RFC 9171,NASA cFS community,the path by which BPv7 reaches real NASA avionics,sweep,2026-07,2026-07,Deep space / DTN
NetMet,Measurement,Measurement tool,Browser plugin (per-network QoE),Generic (used for Starlink studies),N/A,Goodput; bufferbloat; web QoE; DASH video QoE,na,N/A,Any volunteer browser,In-browser tests (M-Lab; Akamai DASH),Per-network results in extension UI,JavaScript,None (UNKNOWN),low,Borderline (v2.0 2024-07; last push 2025-02),2025-02,https://github.com/boserohan/netmet,None found,Rohan Bose (TUM),Not satellite-specific; auto-classifies per network; no public dataset,dagstuhl,2026-07,2026-07,LEO
NetSatBench,Emulator,,Distributed container emulation (VXLAN overlay),LEO broadband,JSON scenario + precomputed epoch files (TLE/Walker handling in generators),L2 VXLAN ISLs; L3 auto-addressing; pluggable routing (IS-IS; oracle; SRv6),yes,Yes (containers + sat-agent per node),10-node tutorial; large-scale target,JSON scenarios + epoch files; worker configs,Traffic measurements; routing tables; logs,Python,BSD-2-Clause,active,Yes (created 2025-11; last push 2026-06),2026-06,https://github.com/mSvcBench/NetSatBench,arXiv:2604.27854 (2026 preprint),Andrea Detti (Tor Vergata),Very young; SRv6 handover case study,dagstuhl,2026-07,2026-07,LEO
ns-3-leo,Simulator,,LEO constellation module for ns-3,LEO broadband,TLE import + Walker-style parameters,Mobility; propagation loss (ISL/GSL); ns-3 stack above,no,No,Starlink/Telesat topologies,TLE; constellation params,ns-3 traces,C++,GPL-2.0,inactive,No (last push 2023-11),2023-11,https://github.com/dadada/ns-3-leo,IEEE Access 2022,Tim Schubert (TU Braunschweig),one of two standard ns-3 LEO baselines alongside Hypatia,sweep,2026-07,2026-07,LEO
NSDocker,Emulator,Hybrid sim+emu,ns-3 simulation + Docker real-stack nodes,LEO broadband,Constellation built in ns-3 (propagator UNKNOWN),ns-3 CSMA links + topology; real transport/apps in containers,yes,Yes (Docker side),200 sats demonstrated; 88% memory saving vs pure Docker,ns-3 scenario configs,ns-3 traces + container measurements,UNKNOWN,UNKNOWN,inactive,No public repo found,N/A,https://dl.acm.org/doi/10.1145/3735358.3737767,APNet 2025,BUPT/RMIT (Ruan; Pan; et al.),Artifact availability unclear; contact authors before listing repo,dagstuhl,2026-07,2026-07,LEO
NTN_IAB_Sim,Simulator,,Satellite IAB extension of 5G-air-simulator,NTN-5G,Internal satellite node/link models,RAN system level (scheduling; IAB topologies),no,No,System-level scenarios,Simulator configs,Simulation results,C++,GPLv3,low,Low (last push 2024-09),2024-09,https://github.com/telematics-lab/NTN_IAB_Sim,SATIABLE project papers,Politecnico di Bari,rare open coverage of 3GPP Rel-18/19 satellite IAB,sweep,2026-07,2026-07,NTN-5G
OpenAirInterface 5G NTN,Implementation,,Real 3GPP Rel-17 gNB+UE stack with NTN,NTN-5G (GEO/LEO),Built-in delay/Doppler NTN models in RFsim; real SDR/satellite for OTA,Full 5G PHY-RRC + core interfaces; real IP user plane,yes,Yes,Validated over live GEO transponders,Config files (NTN GEO/LEO presets in-tree),Real 5G traffic; logs,C,OAI Public License v1.1,active,Yes (weekly tags through 2025; Fraunhofer IIS contributions),2025,https://gitlab.eurecom.fr/oai/openairinterface5g,IEEE FNWF 2022; IEEE Access 2024,OSA/EURECOM; ESA 5G-GOA/5G-LEO,only full open stack validated over real GEO satellites,sweep,2026-07,2026-07,LEO; NTN-5G; GEO / DVB
OpenNTN,Simulator,Simulator module,TR 38.811 NTN channels for Sionna,NTN-5G/6G PHY,3GPP statistical channel models (elevation-dependent),PHY channel/antenna only,no,No,Link-level,Sionna/TensorFlow scripts,Channel realizations,Python,MIT,active,Yes (last push 2026-06),2026-06,https://github.com/ant-uni-bremen/OpenNTN,arXiv 2025-09,Univ. Bremen ANT,main open path for AI/ML 6G NTN PHY research,sweep,2026-07,2026-07,NTN-5G
OpenSAND,Emulator,,DVB-S2(X)/RCS2 GEO satcom emulation,GEO satcom access,None (static GEO; link/attenuation scenarios),DVB-S2/RCS2 link/MAC; GSE; IP QoS; real apps via tun/tap,yes,Yes (real Linux stacks),System-level (gateway/terminals),Emulation config; attenuation scenarios,Real IP traffic; logs (companion OpenBACH),C++,GPLv3/LGPLv3,active,Yes (v8.2.0; last push 2025-12),2025-12,https://github.com/CNES/opensand,Ka Conference 2017 (ex-Platine),CNES / Thales / Viveris,canonical European satcom emulator; standard substrate for PEP/QUIC studies,sweep,2026-07,2026-07,GEO / DVB
OpenSN,Emulator,,Container-based constellation emulation (Go),LEO broadband,Config via key-value store (propagator undocumented),Dynamic virtual links; real routing daemons per container,yes,Yes (containers),Mega-constellation scale claimed (5-10x faster build than StarryNet),KV-database config (formats unclear),Undocumented,Go,MIT (code); CC BY-SA 4.0 (site),active,Yes (last push 2026-05; 44 stars),2026-05,https://opensn-library.github.io/,IEEE TPDS 36(8) 2025,Beihang Univ. (Lu; Wang; Zhang; Luo),Positions itself against StarryNet/Mininet on speed; docs sparse,dagstuhl,2026-07,2026-07,LEO
OPS-SAT,In-orbit platform,,3U CubeSat flying laboratory,Software-defined operations,N/A,SEPP processor (ARM+FPGA Linux); S/X-band; SDR; optical receiver,yes,Yes (experimenter software onboard),1 satellite; >100 experimenter teams,Experimenter software via ESA programme,Experiment results,Various,Open experimenter programme,inactive,Mission ended (reentry 2024-05); successor VOLT ~2026,2024-05,https://opssat.esa.int/,ESA mission pages; eoPortal,ESA ESOC (D. Evans),Archetype of open in-orbit software lab; lineage continues via Space Lab + VOLT (optical/QKD),dagstuhl,2026-07,2026-07,Other
PEPsal,Implementation,,TCP-splitting PEP (RFC 3135 style),Transport (GEO),None,IP/TCP connection splitting; TCP Hybla on satellite segment,yes,Yes,Production-style proxy,netfilter rules; config,Real TCP traffic,C,GPL,active,Yes (CNES/Viveris maintained; last push 2025-07),2025-07,https://github.com/CNES/pepsal,IEEE 2006 (Caini et al.),CNES / Viveris / Univ. Bologna,only free maintained reference of the classic satcom TCP PEP,sweep,2026-07,2026-07,GEO / DVB; Transport
PhantomLink,Emulator,,Virtual end-to-end link (Rust; raw sockets),Generic (satellite path dynamics),N/A (CSV scenarios; can derive from orbit models),Link/path only (delay; rate; reordering; route changes); real stack above,yes,Yes (network namespaces),One end-to-end link,CSV scenarios (time; RouteID; delay; rate),Live emulated link; measure via apps,Rust,Apache-2.0,active,Yes (last push 2026-04),2026-04,https://github.com/robinohs/phantomlink,ACM/IRTF ANRW 2025,Saarland Univ. (Ohs; Schmidt; Hermanns),No tc/netem dependency; Debian package + Cargo crate,dagstuhl,2026-07,2026-07,Orbits / astro
PolarLink,In-orbit platform,,8U CubeSat (Arctic LEO connectivity),LEO interoperability / optical ISL,N/A,Optical + RF payloads; space-to-space links with commercial LEO,na,N/A,1 CubeSat planned,N/A,N/A,N/A,N/A,planned,Planned (launch ~Oct/Nov 2027; DRDC contract 2025),2027 (planned),https://www.uvic.ca/ecs/news/cfar-spaceleo.php,UVic news; LEO-NET ecosystem,Jianping Pan (UVic CfAR),DRDC SpaceLEO program; CAD 2.82M; payload details not yet public,dagstuhl,2026-07,2026-07,LEO; Optical
pyCGR,Library,,Didactic Python CGR/SABR reference,Space DTN routing education,ION-style contact plans,CGR route search; SABR concepts; no BP,no,No,Teaching scale,Contact plans,Route computations,Python,Unspecified,inactive,No (last update 2023-04),2023-04,https://bitbucket.org/juanfraire/pycgr,JNCA 2021 CGR tutorial,Juan A. Fraire,canonical readable CGR reference (self-citation to disclose),sweep,2026-07,2026-07,Deep space / DTN
pydtnsim,Simulator,,Python DES for CGR variant evaluation,Space DTN routing,Contact plans / contact graphs,Abstract bundles; CGR + anchoring variants,no,No,Ring Road scale scenarios,Contact plans (dtn-tvg-util compatible),Simulation results,Python,MIT,inactive,No (last push 2022-12),2022-12,https://github.com/ducktec/pydtnsim,TU Dresden CGR research,ducktec (TU Dresden lineage),purpose-built open CGR-variant comparison simulator,sweep,2026-07,2026-07,Deep space / DTN
QPEP,Implementation,,Encrypted QUIC-based PEP + dockerized testbed,Transport (GEO),None (ships OpenSAND-based testbed),TCP interception; QUIC tunnel over satellite hop,yes,Yes,Point-to-point proxy pair,Docker testbed configs,Benchmark results vs PEPsal/VPN,Go + Python,Clear BSD + Commons Clause,low,Fork active (Project-Faster through 2025-03; original dormant 2022),2025-03,https://github.com/ssloxford/qpep,NDSS 2021,Oxford SSL (Pavur) / armasuisse,canonical open answer to PEP-vs-encryption; cited in PANRG/MASQUE discussions,sweep,2026-07,2026-07,GEO / DVB; Transport
QUIC Interop Runner - Satellite Edition,Measurement,Benchmark framework,QUIC implementations over GEO profiles,Transport (GEO),netem GEO delay/loss profiles + real satellite links (Astra/Eutelsat),Transport/application (QUIC/HTTP3 stacks in containers),yes,Yes,Many QUIC implementations compared,Test case definitions,Interop/performance matrices (public results site),Python,MIT-derived,inactive,No (thesis-era 2022; results site online),2022,https://gitlab.cs.fau.de/sedrubal/masterarbeit/quic-interop-runner,PAM 2022 (arXiv:2202.08228),FAU Erlangen (Deutschmann),reusable harness for QUIC-over-satellite comparisons,sweep,2026-07,2026-07,GEO / DVB; Transport
RADIANT,Testbed,,"Amateur-radio DTN testbed (real RF, multiple BP stacks)",Amateur radio DTN; LEO and cislunar payloads targeted,Real over-the-air disruption: terrestrial packet radio now; LEO passes and GEO transponder slots on the roadmap,"BPv7 over LTP in KISS framing; contact graph routing; implementation-agnostic abstraction over HDTN, ION, uD3TN and Hardy; callsign-derived endpoint IDs; no encryption (amateur radio rules)",yes,Real BP implementations over real RF links,Two terrestrial nodes (phase 1); multi-station network and CubeSat payload planned,9600-baud packet radio (FT-817 + TNC4 + Raspberry Pi),Bundle delivery and store-and-forward validation results,Not yet published,Not yet published,active,Phase 1 operational 2026; recruiting collaborators,2026,https://radiant.amsat-uk.org,AMSAT News Service bulletins (2026),AMSAT-UK with AMSAT-DL and Goonhilly Earth Station,"Runs several BPv7 implementations interchangeably under genuine link disruption, which makes it a practical interoperability harness. Source repository not yet public.",community,2026-07,2026-07,Deep space / DTN; Ground segment
Roman-HitchHiking,Measurement,Measurement methodology,Internet scanning for LEO outage detection,LEO broadband (Starlink),N/A,TTL-limited probing of exposed customer IPs; router dedup,na,N/A,Global Starlink user coverage,Censys-style target lists,Scamper warts to Python dataframes,Python,None (UNKNOWN),active,Yes (last push 2026-05),2026-05,https://github.com/UCLA-SCaN/roman_hitchhiking,ACM LEO-NET 2025,UCLA SCaN (lizhikev@ucla.edu),Extends LEO-HitchHiking to near-real-time outage detection,dagstuhl,2026-07,2026-07,LEO
SALT,Testbed,,Rooftop satellite lab (real DVB + emulated links),GEO/DVB satellite broadband,N/A (real links),Transport behavior; congestion control; PMTUD; IP-over-DVB,yes,Yes (real terminals),Single site; dishes 0.3-2.5 m,N/A,Results via papers/RFCs,N/A,N/A (internal loan only),active,Yes (publications through 2026),2026,https://abdn.elsevierpure.com/en/equipments/satellite-applications-laboratory-testbed-salt/,Computer Networks 2025 (10.1016/j.comnet.2025.111950),G. Fairhurst (Aberdeen),Long IETF lineage (TSVWG; DVB/IP RFCs),dagstuhl,2026-07,2026-07,GEO / DVB; LEO
SatEdgeSim,Simulator,,Satellite edge computing task offloading DES,Orbital edge computing,STK-precomputed position traces,Task generation; orchestration; bandwidth/delay; energy model,no,No,1000+ mist nodes; 24 edge; 18 cloud satellites,Position traces; scenario configs,Simulation results,Java,EPL-2.0,inactive,No (dormant since ~2021; 62 stars),2021,https://github.com/wjy491156866/SatEdgeSim,ICCSN 2020,Jiawei Wei et al.,first widely cited OEC simulator; abandoned but baseline,sweep,2026-07,2026-07,Orbital compute
Satitch,Simulator,,Cross-operator LEO core-network collaboration,Multi-operator constellation interoperability,Consumes StarPerf HDF5 topology outputs,"Inter-operator handoff scenarios (e.g. Starlink+Kuiper, Telesat+OneWeb+Qianfan)",no,,Multi-constellation scenarios,StarPerf HDF5 outputs; configs,Simulation results,Mixed,MIT,active,Pushed 2026-01,2026-01,https://github.com/SpaceNetLab/Satitch,IEEE INFOCOM 2026,"SpaceNetLab, Tsinghua University",Public tool for multi-operator core interoperability studies; relevant to inter-constellation federation work.,sweep,2026-07,2026-07,LEO
SatNOGS,Testbed,Ground network,Open volunteer SDR ground-station network + DB,Community ground segment,N/A (real passes),Scheduled observations; demodulated data; telemetry DB for thousands of sats,yes,Yes (real RF),Hundreds of stations online,REST APIs; web scheduling,Observations; waterfalls; telemetry exports,Python (stack),Data CC BY-SA; open-source software,active,Yes,2026,https://satnogs.org,SmallSat Conference paper,Libre Space Foundation,reference community ground segment; schedulable real LEO passes + years of open data,sweep,2026-07,2026-07,Ground segment
SatPerf,Measurement,Measurement tool,Browser plugin (crowdsourced),LEO broadband,N/A,User-perceived speed and page-load metrics,na,N/A,Any volunteer browser,In-browser tests,Local browser storage; optional anonymized upload,JavaScript,Apache-2.0,inactive,No (last push 2024-07; 0 stars),2024-07,https://github.com/socsys/satperf/,None found,"SOCSYS, Univ. of Surrey",Likely dormant; no public dataset identified,dagstuhl,2026-07,2026-07,LEO
SatPipe,Implementation,,Deterministic TCP adaptation for LEO paths,LEO transport and video delivery,Handover-aware deterministic LEO path model,Transport adaptation plus DASH video demo,yes,,Path-level evaluation,Configs,Implementation and demo,Mixed,Not stated,low,Last push 2025-01,2025-01,https://github.com/dzhao99/SatPipe,IEEE INFOCOM 2025,dzhao99 (Cisco Research collaboration),Transport-layer artifact with a working video-streaming demonstration.,sweep,2026-07,2026-07,LEO; Transport
SaVi,Visualizer,,Constellation orbit/coverage visualization,Generic constellations,Keplerian elements via Tcl scripts (Starlink/Iridium/GPS presets; no TLE ingestion),Geometry/footprints/coverage only (no network stack),no,No,Full constellations (thousands),Tcl constellation scripts,2D coverage maps; coverage stats; Geomview 3D; snapshots,C + Tcl/Tk,BSD,active,Yes (v1.6 2023; files updated 2026-03; single maintainer),2026-03,https://savi.sourceforge.io/,arXiv:1204.3265 (2011; lineage to 1990s),Lloyd Wood,~30-year lineage; teaching and constellation design staple,dagstuhl,2026-07,2026-07,LEO
SILLEO-SCNS,Simulator,,Graph/snapshot-level + interactive 3D,LEO broadband,Parametric Walker-style; custom Kepler solver (no TLE),Positions; ISL/GSL graph; shortest-path routing,no,No,Hundreds to thousands (int16 cap ~32k),GUI parameters,VTK interactive viz; numpy state (no trace formats),Python,GPL-3.0,inactive,No (abandoned 2020-11; 111 stars),2020-11,https://github.com/Ben-Kempton/SILLEO-SCNS,MSc thesis + companion paper (2020),B. Kempton (Christopher Newport Univ.),Educational/lightweight; unmaintained,dagstuhl,2026-07,2026-07,LEO
SKYFALL,Implementation,,Bottleneck-ISL and link-flooding attack analysis,LEO network security and resilience,Time-varying topology models,Bottleneck identification; link-flooding attack simulation; countermeasures,no,,Constellation-scale,Topology and attack configs,Analysis results,Mixed,MIT,low,Last push 2024-10,2024-10,https://github.com/SpaceNetLab/SKYFALL,NDSS 2025,"SpaceNetLab, Tsinghua University",Adversarial and resilience analysis; pairs with the attack models in StarPerf.,sweep,2026-07,2026-07,LEO; Security
SNS3,Simulator,,DVB-S2/RCS2 GEO system-level (ns-3 module),GEO broadband,Static GEO 72-beam reference; SGP4 constellation extensions,Per-packet SNIR PHY; DAMA/CRDSA MAC; ns-3 IP/transport above,no,No,72-beam multi-spot GEO system,ns-3 scenario configs,ns-3 traces/statistics,C++,GPL-3.0,active,Yes (last push 2025-11; 215 stars; CNES fork),2025-11,https://github.com/sns3/sns3-satellite,SIMUTools 2014,Magister Solutions / ESA / CNES,most complete open GEO satcom simulator; ESA lineage,sweep,2026-07,2026-07,GEO / DVB; LEO
Space-Track.org,Dataset / data,Data service,Authoritative USSF satellite catalog + GP data,Orbital elements,N/A (the source),GP/GP_History elsets; conjunctions; decay; metadata for 47k+ objects,na,N/A,Full catalog; multiple daily updates,REST API (account required),OMM XML/KVN/JSON/CSV; legacy TLE,N/A,Free account; redistribution restricted,active,Yes,2026,https://www.space-track.org,N/A (operational service),US Space Command / 18 SDS,upstream ground truth behind CelesTrak,sweep,2026-07,2026-07,Orbits / astro
SpaceGEN,Implementation,,Synthetic CDN trace generator,CDN workload traces for satellite network studies,n/a,Popularity-correlated workload trace generation,na,,n/a,Generation parameters,Synthetic CDN traces,Mixed,Not stated,active,Published 2025,2025,https://github.com/ConnectedSystemsLab/SpaceGEN,ACM SIGCOMM 2025,"Connected Systems Lab, UIUC",Companion artifact of StarCDN; reusable workload input for satellite CDN evaluations.,sweep,2026-07,2026-07,LEO
SpaceNet,Emulator,,Two-phase Mininet (offline compute + real-time replay),LEO broadband,Real TLEs (get_tles.sh) or synthetic shells; SGP4/skyfield,ISL/ground topology; configurable routing weights; real stacks in Mininet,yes,Yes (Mininet hosts),Designed for thousands of sats; validated vs real Starlink data,TLEs; YAML configs; GS coordinates,Topology graphs; routing tables; ping/iperf; resource logs,Python,None (UNKNOWN),low,Low (last push 2025-09; docs incomplete),2025-09,https://github.com/SpaceNetTestbed-public,IEEE Access 2026,Virginia Tech (Barbour; Kedrowitsch),Hypatia-inspired; do not confuse with AIAA SpaceNet or SpaceNet EO dataset,dagstuhl,2026-07,2026-07,LEO
srsRAN NTN / OCUDU,Implementation,,O-RAN 5G CU/DU with Rel-17 NTN (GEO),NTN-5G,External channel emulator (bundled GNU Radio GEO delay flowgraph),Full gNB PHY-RRC + O-RAN interfaces,yes,Yes,GEO scenarios reproducible; LEO planned (OCUDU v2.x),Configs + GNU Radio emulator,Real 5G traffic,C++,AGPLv3 (srsRAN); BSD-3 (OCUDU),low,Transition (srsRAN archived 2026-06; OCUDU v1.0 2026-03 active),2026-03,https://docs.ocudu.org,srsRAN NTN tutorial docs,SRS / Linux Foundation,second major open NTN RAN; now under LF governance,sweep,2026-07,2026-07,NTN-5G
StarCDN-Simulator,Simulator,,In-orbit CDN caching simulation,Space content delivery,Constellation model (see paper),CDN placement and caching over LEO; bandwidth-reduction studies,no,,Constellation-scale,Scenario and trace inputs,Simulation results,Mixed,Not stated,active,Published 2025,2025,https://github.com/ConnectedSystemsLab/StarCDN-Simulator,ACM SIGCOMM 2025,"Connected Systems Lab, UIUC",Simulator for space-based CDN placement and caching; pairs with the SpaceGEN trace generator.,sweep,2026-07,2026-07,LEO
Stardust / stardust-go,Simulator,,Scalable 3D-continuum (edge-cloud-space) simulator,LEO edge + routing,Internal circular-shell constellation model,ISL topologies; dynamic routing; ground stations; orchestration plugins,no,No,~20k satellites on one machine,Scenario configs; SimPlugins,Simulation results,C# (archived) / Go successor,Apache-2.0,active,Yes (successor active; original archived 2025-11),2026,https://github.com/polaris-slo-cloud/stardust,arXiv:2506.01513 (2025),TU Wien (Nastic group),currently the most scalable open OEC-oriented simulator,sweep,2026-07,2026-07,LEO; Orbital compute
Starlink CDN and DNS Performance Dataset,Dataset / data,Dataset,Global web-delivery performance over Starlink,LEO broadband,N/A,Speedtests; DNS; traceroutes; CDN reachability,na,N/A,145 countries; Nov 2023-Sep 2025; 225k AIM tests; 6.1M traceroutes; 10.8M DNS queries,N/A,Archives via mediaTUM (formats TBC; site unreachable during check),N/A,UNKNOWN (verify on mediaTUM),inactive,Static snapshot,2025-09 (campaign end),https://mediatum.ub.tum.de/1840504,ACM WWW 2026 (arXiv:2510.13710),Nitinder Mohan (TU Delft),Key finding: PoP proximity dominates Starlink web performance; license/size to verify,dagstuhl,2026-07,2026-07,LEO
Starlink DTC visualization,Visualizer,,Live CesiumJS globe of DTC satellites,Direct-to-cell,Client-side satellite.js propagation from ephemeris feed,Orbital positions only,na,N/A,Starlink DTC subset,Ephemeris CSV feed (auto-fetched),Interactive WebGL (no export),JavaScript,UNKNOWN,active,Yes (live site),2026-01,https://constellation.jinwei.me/,None,Jinwei Zhao (UVic),Illustrative only; not a data source,dagstuhl,2026-07,2026-07,LEO
Starlink on the Autobahn,Dataset / data,Dataset,Mobile Starlink at highway speeds,LEO broadband,N/A,RTT; iperf3 throughput; loss vs vehicle speed,na,N/A,Osnabrück-Bunde route + stationary baselines,N/A,CSV + notebooks + emulation scripts,Python notebooks,CC BY-SA 4.0,inactive,Frozen,2025-02,https://github.com/sys-uos/Starlink-on-the-Autobahn,IEEE OJ-COMS 2025,sys-uos (Osnabrück),Successor of Starlink on the Road with >100 km/h mobility,dagstuhl,2026-07,2026-07,LEO
Starlink on the Road,Dataset / data,Dataset,First public in-motion Starlink dataset,LEO broadband,N/A,"17,479 throughput + 1,191 RTT + 519 power samples vs speed",na,N/A,Osnabrück region campaign,N/A,CSV,N/A,CC BY-SA 4.0,inactive,Frozen,2024-05,https://github.com/sys-uos/Starlink-on-the-Road,TMA 2024,sys-uos (Osnabrück),GPS traces withheld for privacy,dagstuhl,2026-07,2026-07,LEO
starlink-grpc-tools,Measurement,Measurement tool,Dish telemetry extraction toolkit,Starlink terminal telemetry,N/A,Dish status/history/obstruction via local gRPC,na,N/A,Single dish (the substrate under most dish-side datasets),Local gRPC polling,CSV; SQLite; InfluxDB; Prometheus; MQTT; PNG,Python,Unlicense (public domain),active,Yes (v1.2.5 2026-03),2026-03,https://github.com/sparky8512/starlink-grpc-tools,None (community; cited in many papers),sparky8512 (community),the common telemetry substrate under LENS/WetLinks-class datasets,sweep,2026-07,2026-07,LEO
starlinkstatus.space,Measurement,Measurement platform,Crowdsourced community Starlink monitoring,LEO broadband,N/A,Latency every 15s + speedtests every 15min from volunteer dishes,na,N/A,~1.7M measurements; ~300 stations; ~29 countries,Open client (RPi-class),Web dashboards; bulk data by arrangement,Open-source client,Open source,active,Yes,2026,https://starlinkstatus.space,IEEE 2024 (10622394),Manuel Lausmann (community),rare independent crowdsourced effort already used in peer-reviewed work,sweep,2026-07,2026-07,LEO
StarPerf 2.0,Simulator,,Graph/snapshot network performance,LEO broadband,TLE (tle.json) + skyfield/sgp4; parametric Walker,ISL grid topology; path computation; latency/coverage/attack models,no,No,Starlink/OneWeb/Kuiper scale (thousands),TLE data; config files,HDF5; CSV; pyecharts; Cesium 3D viz,Python,BSD-2-Clause,active,Yes (last push 2025-12; 201 stars),2025-12,https://github.com/SpaceNetLab/StarPerf_Simulator,IWQoS 2020 lineage; NDSS 2025 repro,"SpaceNetLab, Tsinghua",v2.0 pure Python (dropped STK/MATLAB); use release/v2.0 branch,dagstuhl,2026-07,2026-07,LEO
StarryNet,Emulator,,Container-based constellation emulation,LEO broadband (ISTN),config.json (altitude/inclination/phases) + skyfield/sgp4,Positions/link distances; tc-shaped links; real routing (Bird OSPF); real apps,yes,Yes (Docker + Linux kernel),27 nodes in README walkthrough; larger multi-machine in NSDI paper,config.json; ground station lat/long; Python API,Routing tables; ping/iperf results; per-node position data,Python,MIT,active,Yes (last push 2026-05; 139 stars),2026-05,https://github.com/SpaceNetLab/StarryNet,USENIX NSDI 2023,"SpaceNetLab, Tsinghua (Zeqi Lai)",OSPF only routing wired in by default; same lab as StarPerf,dagstuhl,2026-07,2026-07,LEO
STELIOS,In-orbit platform,,ESA in-orbit secure telecom laboratory,Secure satcom,N/A,Secure telecom experimentation (details pre-award),na,N/A,Pre-award (tender stage),N/A,N/A,N/A,N/A,planned,Planned (ARTES 4.0 4S activity 3E.031),Pre-award,https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/162569,ESA tender,ESA ARTES 4S,Likely the Dagstuhl row source (via Atlasis); complements OPS-SAT VOLT on security side,dagstuhl,2026-07,2026-07,GEO / DVB
Tartan Artibeus 1,In-orbit platform,,Batteryless computational PocketQube (1p),Orbital edge computing,N/A,Supercapacitor EPS; intermittent computing; low-rate radio; ran cote onboard,na,N/A,1 PocketQube (launched 2022-01),N/A,N/A,Open-source HW/SW,Open source,low,Flown; current status unknown (likely decayed),2022,https://abstract.ece.cmu.edu/ta-1/,SmallSat 2022,CMU Abstract lab (Lucia),World-first batteryless satellite; template for ultra-low-cost constellations,dagstuhl,2026-07,2026-07,Orbital compute
The ONE,Simulator,,Classic opportunistic-DTN discrete-event simulator,Terrestrial opportunistic DTN,Synthetic mobility models; imported traces,Abstract messages; Epidemic/PRoPHET/Spray-and-Wait/MaxProp routing,no,No,City-scale opportunistic scenarios,Mobility configs/traces,Message-level reports,Java,GPL-3.0,inactive,No (dormant; last push 2024-12),2024-12,https://github.com/akeranen/the-one,SIMUTools 2009,Keranen/Ott (Aalto),most-cited DTN simulator ever; the baseline space DTN simulators diverged from,sweep,2026-07,2026-07,Deep space / DTN
The Starlink Robot,Dataset / data,Dataset,Mobile robotic platform + multimodal dataset,Mobile Starlink,N/A,Link performance + fisheye sky camera + LiDAR + IMU/GPS synchronized,na,N/A,~7h / ~120 GB; London environments,N/A,ROS bags; CSV; HDF5,Python/ROS,Open (see repo),active,Yes (docs maintained 2026),2026,https://github.com/StarlinkRobot,EAIS 2026 (arXiv:2506.19781),StarlinkRobot project,uniquely couples environment sensing with link measurements for causal mobility analysis,sweep,2026-07,2026-07,LEO
